,Team_A_Cars, Team_A_Revenue ,Team_B_Cars, Team_B_Revenue ,Team_C_Cars, Team_C_Revenue ,Team_D_Cars, Team_D_Revenue ,,,,
0,90," $9,450.00 ",77," $8,085.00 ",63," $6,615.00 ",85," $8,925.00 ",,,,
1,91," $9,555.00 ",77," $8,085.00 ",68," $7,140.00 ",85," $8,925.00 ",,Overview of Data,,
2,91," $9,555.00 ",78," $8,190.00 ",64," $6,720.00 ",86," $9,030.00 ",,Team,Cars,Revenue
3,90," $9,450.00 ",77," $8,085.00 ",66," $6,930.00 ",85," $8,925.00 ",,A,90.4," $9,492.00 "
4,91," $9,555.00 ",80," $8,400.00 ",65," $6,825.00 ",86," $9,030.00 ",,B,78.24," $8,215.20 "
5,91," $9,555.00 ",79," $8,295.00 ",67," $7,035.00 ",86," $9,030.00 ",,C,65.74," $6,902.70 "
6,90," $9,450.00 ",79," $8,295.00 ",67," $7,035.00 ",85," $8,925.00 ",,D,85.42," $8,969.10 "
7,90," $9,450.00 ",80," $8,400.00 ",63," $6,615.00 ",85," $8,925.00 ",,,,
8,90," $9,450.00 ",78," $8,190.00 ",64," $6,720.00 ",86," $9,030.00 ",,,,
9,89," $9,345.00 ",76," $7,980.00 ",65," $6,825.00 ",85," $8,925.00 ",,,,
10,90," $9,450.00 ",80," $8,400.00 ",68," $7,140.00 ",86," $9,030.00 ",,,,
11,90," $9,450.00 ",77," $8,085.00 ",63," $6,615.00 ",85," $8,925.00 ",,,,
12,91," $9,555.00 ",79," $8,295.00 ",64," $6,720.00 ",86," $9,030.00 ",,,,
13,90," $9,450.00 ",78," $8,190.00 ",66," $6,930.00 ",86," $9,030.00 ",,,,
14,91," $9,555.00 ",80," $8,400.00 ",64," $6,720.00 ",85," $8,925.00 ",,,,
15,90," $9,450.00 ",78," $8,190.00 ",63," $6,615.00 ",86," $9,030.00 ",,,,
16,89," $9,345.00 ",79," $8,295.00 ",66," $6,930.00 ",86," $9,030.00 ",,,,
17,90," $9,450.00 ",81," $8,505.00 ",69," $7,245.00 ",85," $8,925.00 ",,,,
