Timestamp,How many hits did you roll?
9/14/2017 19:08:25,9
9/14/2017 19:08:47,7
9/14/2017 19:09:10,9
9/14/2017 19:09:11,8
9/14/2017 19:09:16,6
9/14/2017 19:09:19,6
9/14/2017 19:09:29,5
9/14/2017 19:09:33,7
9/14/2017 19:09:39,6
9/14/2017 19:09:41,8
9/14/2017 19:09:46,9
9/14/2017 19:09:46,7
9/14/2017 19:09:50,7
9/14/2017 19:09:55,7
9/14/2017 19:10:03,7
9/14/2017 19:10:04,6
9/14/2017 19:10:05,9
9/14/2017 19:10:09,8
9/14/2017 19:10:28,6
9/14/2017 19:10:34,6
9/14/2017 19:10:35,8
9/14/2017 19:10:37,5
9/14/2017 19:10:37,7
9/14/2017 19:10:43,6
9/14/2017 19:10:44,5
9/14/2017 19:10:50,7
9/14/2017 19:10:52,4
9/14/2017 19:10:52,8
9/14/2017 19:10:54,3
9/14/2017 19:10:54,8
9/14/2017 19:10:57,5
9/14/2017 19:10:57,6
9/14/2017 19:10:58,8
9/14/2017 19:10:59,6
9/14/2017 19:11:02,6
9/14/2017 19:11:03,9
9/14/2017 19:11:03,7
9/14/2017 19:11:04,6
9/14/2017 19:11:07,5
9/14/2017 19:11:07,7
9/14/2017 19:11:07,8
9/14/2017 19:11:09,7
9/14/2017 19:11:10,2
9/14/2017 19:11:13,6
9/14/2017 19:11:17,8
9/14/2017 19:11:20,7
9/14/2017 19:11:21,7
9/14/2017 19:11:22,9
9/14/2017 19:11:23,4
9/14/2017 19:11:26,9
9/14/2017 19:11:27,6
9/14/2017 19:11:28,8
9/14/2017 19:11:30,10
9/14/2017 19:11:31,5
9/14/2017 19:11:34,7
9/14/2017 19:11:35,5
9/14/2017 19:11:36,5
9/14/2017 19:11:40,8
9/14/2017 19:11:45,5
9/14/2017 19:11:49,5
9/14/2017 19:11:51,9
9/14/2017 19:11:51,7
9/14/2017 19:11:52,6
9/14/2017 19:11:52,5
9/14/2017 19:11:57,2
9/14/2017 19:11:58,8
9/14/2017 19:12:03,7
9/14/2017 19:12:06,8
9/14/2017 19:12:07,10
9/14/2017 19:12:07,6
9/14/2017 19:12:08,5
9/14/2017 19:12:10,4
9/14/2017 19:12:10,4
9/14/2017 19:12:11,7
9/14/2017 19:12:16,6
9/14/2017 19:12:16,5
9/14/2017 19:12:17,2
9/14/2017 19:12:18,8
9/14/2017 19:12:20,6
9/14/2017 19:12:21,8
9/14/2017 19:12:21,5
9/14/2017 19:12:22,5
9/14/2017 19:12:28,8
9/14/2017 19:12:30,5
9/14/2017 19:12:34,8
9/14/2017 19:12:35,6
9/14/2017 19:12:36,8
9/14/2017 19:12:37,5
9/14/2017 19:12:39,8
9/14/2017 19:12:40,6
9/14/2017 19:12:40,4
9/14/2017 19:12:42,8
9/14/2017 19:12:42,5
9/14/2017 19:12:46,6
9/14/2017 19:12:47,8
9/14/2017 19:12:50,5
9/14/2017 19:12:57,7
9/14/2017 19:12:57,6
9/14/2017 19:13:02,9
9/14/2017 19:13:06,5
9/14/2017 19:13:09,5
9/14/2017 19:13:11,7
9/14/2017 19:13:14,6
9/14/2017 19:13:15,6
9/14/2017 19:13:16,6
9/14/2017 19:13:22,7
9/14/2017 19:13:28,9
9/14/2017 19:13:29,6
9/14/2017 19:14:10,7
9/14/2017 19:14:10,7
9/14/2017 19:14:15,7
9/14/2017 19:14:15,7
9/14/2017 19:14:20,6
9/14/2017 19:14:24,7
9/14/2017 19:14:29,5
9/14/2017 19:14:33,8
9/14/2017 19:14:36,9
9/14/2017 19:14:40,10
9/14/2017 19:14:44,8
9/14/2017 19:14:47,4
9/14/2017 20:02:54,5
9/14/2017 20:03:06,5
9/20/2017 17:35:39,5
